Restricted_word
ABORT
ABORTSESSION
ABS
ACCESS_LOCK
ACCOUNT
ACOS
ACOSH
ADD
ADD_MONTHS
ADMIN
AFTER
AGGREGATE
ALL
ALTER
AMP
AND
ANSIDATE
ANY
ARGLPAREN
AS
ASC
ASIN
ASINH
AT
ATAN
ATAN2
ATANH
ATOMIC
AUTHORIZATION
AVE
AVERAGE
AVG
BEFORE
BEGIN
BETWEEN
BIGINT
BINARY
BLOB
BOTH
BT
BUT
BY
BYTE
BYTEINT
BYTES
CALL
CASE
CASE_N
CASESPECIFIC
CAST
CD
CHAR
CHAR_LENGTH
CHAR2HEXINT
CHARACTER
CHARACTER_LENGTH
CHARACTERS
CHARS
CHECK
CHECKPOINT
CLASS
CLOB
CLOSE
CLUSTER
CM
COALESCE
COLLATION
COLLECT
COLUMN
COMMENT
COMMIT
COMPRESS
CONNECT
CONSTRAINT
CONSTRUCTOR
CONSUME
CONTAINS
CONTINUE
CONVERT_TABLE_HEADER
CORR
COS
COSH
COUNT
COVAR_POP
COVAR_SAMP
CREATE
CROSS
CS
CSUM
CT
CTCONTROL
CUBE
CURRENT
CURRENT_DATE
CURRENT_ROLE
CURRENT_TIME
CURRENT_TIMESTAMP
CURRENT_USER
CURSOR
CV
CYCLE
DATABASE
DATABLOCKSIZE
DATE
DATEFORM
DAY
DEALLOCATE
DEC
DECIMAL
DECLARE
DEFAULT
DEFERRED
DEGREES
DEL
DELETE
DESC
DETERMINISTIC
DIAGNOSTIC
DISABLED
DISTINCT
DO
DOMAIN
DOUBLE
DROP
DUAL
DUMP
DYNAMIC
EACH
ECHO
ELSE
ELSEIF
ENABLED
END
EQ
EQUALS
ERROR
ERRORFILES
ERRORTABLES
ESCAPE
ET
EXCEPT
EXEC
EXECUTE
EXISTS
EXIT
EXP
EXPAND
EXPANDING
EXPLAIN
EXTERNAL
EXTRACT
FALLBACK
FASTEXPORT
FETCH
FIRST
FLOAT
FOR
FOREIGN
FORMAT
FOUND
FREESPACE
FROM
FULL
FUNCTION
GE
GENERATED
GET
GIVE
GRANT
GRAPHIC
GROUP
GROUPING
GT
HANDLER
HASH
HASHAMP
HASHBAKAMP
HASHBUCKET
HASHROW
HAVING
HELP
HOUR
IDENTITY
IF
